ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1570768090.504586,689,86,105,186,58,51,27,742
1570768090.572368,475,178,190,190,58,54,29,618
1570768090.5734859,231,637,236,190,63,64,28,386
1570768090.574763,227,873,279,189,68,83,31,160
1570768090.642386,233,970,403,172,156,131,46,121
1570768090.643459,225,991,467,162,172,132,46,105
1570768090.644908,244,833,516,164,187,149,49,110
1570768090.782306,227,614,531,161,195,142,49,100
1570768090.783419,196,555,485,138,162,128,42,82
1570768090.784745,174,503,466,115,133,106,40,73
1570768090.786227,120,342,283,83,84,69,35,50
1570768090.852775,75,181,136,77,69,50,30,45
1570768090.854083,67,160,109,66,67,49,32,41
1570768090.855634,71,163,81,65,66,44,32,41
1570768090.9228199,68,140,59,64,44,42,31,39
1570768090.924114,61,155,51,61,44,40,30,36
1570768090.92558,59,145,48,59,44,34,27,36
1570768090.992872,47,115,45,60,49,35,27,32
1570768090.994098,73,158,56,63,51,34,27,36
1570768090.995574,79,159,60,72,57,35,30,39
1570768091.063195,80,198,79,74,56,40,32,40
1570768091.06409,102,210,294,78,52,47,34,49
1570768091.065574,104,298,396,80,52,51,36,54
1570768091.132867,115,304,404,78,46,60,40,56
1570768091.1341019,116,320,417,89,45,62,40,57
1570768091.1355731,115,294,421,87,46,59,40,57
1570768091.202827,79,165,166,75,50,54,38,40
1570768091.204035,54,147,146,63,52,44,29,31
1570768091.205538,51,97,98,44,53,41,29,27
1570768091.2727618,50,88,71,40,51,42,30,31
1570768091.274138,50,112,58,39,50,38,26,29
1570768091.275599,53,150,52,37,46,36,27,31
1570768091.342832,51,156,49,37,47,38,30,31
1570768091.3440974,48,149,43,35,45,38,27,27
1570768091.345567,43,126,36,36,47,37,29,28
1570768091.41283,42,70,32,41,42,39,27,25
1570768091.414139,43,69,37,42,39,44,29,28
1570768091.415549,42,68,39,44,38,42,26,28
1570768091.4827714,45,72,48,42,41,43,25,27
1570768091.484084,47,75,48,37,41,42,28,31
1570768091.485599,46,67,45,37,46,41,28,28
1570768091.552975,48,61,47,35,45,41,28,29
1570768091.554153,47,62,45,35,40,40,30,30
1570768091.555607,47,57,39,37,42,38,30,32
1570768091.622801,40,53,41,41,43,33,29,31
1570768091.624108,41,74,48,44,54,41,30,32
1570768091.625608,43,76,47,45,58,41,27,32
1570768091.693001,40,84,51,43,57,42,30,31
1570768091.694187,46,91,50,48,57,46,28,30
1570768091.695633,48,92,54,49,55,46,33,32
1570768091.762379,46,83,48,47,44,40,33,29
1570768091.832356,49,84,53,45,43,45,34,31
1570768091.833426,52,83,55,48,44,44,32,33
1570768091.835404,46,94,61,48,40,44,29,30
1570768091.902333,57,215,57,71,41,48,33,33
1570768091.903445,60,232,52,67,44,49,34,36
1570768091.9047134,62,234,50,65,47,47,35,39
1570768091.972959,69,217,58,61,47,45,32,42
1570768091.974172,61,165,54,47,47,41,30,39
1570768091.975657,59,142,53,52,46,39,34,39
1570768092.04234,58,130,51,53,47,39,30,36
1570768092.043449,54,83,51,48,50,37,30,36
