ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ts
26,28,35,74,164,35,22,24,1560803741.269772
26,27,38,83,175,36,26,25,1560803741.2922802
23,28,40,77,162,36,25,23,1560803741.314775
25,28,39,77,160,36,26,23,1560803741.329804
27,27,35,76,165,37,25,23,1560803741.352232
24,25,34,72,163,33,26,22,1560803741.37476
25,24,36,66,154,34,24,22,1560803741.397917
25,22,35,63,136,34,26,22,1560803741.412277
23,22,32,62,128,42,27,22,1560803741.434952
21,23,35,58,121,44,28,23,1560803741.457912
22,24,36,60,119,46,26,25,1560803741.480469
21,26,31,58,131,43,27,26,1560803741.494735
24,27,37,57,137,47,28,26,1560803741.517996
24,26,39,55,162,43,27,26,1560803741.540183
26,28,39,54,178,43,27,26,1560803741.554741
25,27,39,53,176,43,27,21,1560803741.577943
26,27,45,56,162,52,27,21,1560803741.600417
24,24,38,53,156,48,25,21,1560803741.614763
25,28,39,54,136,46,25,20,1560803741.645242
25,26,38,61,116,43,24,19,1560803741.6521301
26,26,40,60,115,45,24,22,1560803741.6828609
23,24,31,57,111,36,22,22,1560803741.6979349
23,25,32,60,128,39,22,22,1560803741.7122118
22,22,31,61,119,40,22,21,1560803741.734825
21,21,29,55,137,40,22,22,1560803741.7579849
20,22,31,57,132,38,24,20,1560803741.780515
23,23,32,55,153,37,24,20,1560803741.7954528
31,31,31,67,170,65,29,27,1560803741.817773
35,33,29,67,170,71,33,32,1560803741.832057
35,33,28,64,151,74,32,31,1560803741.855284
36,33,25,69,189,76,33,32,1560803741.885299
37,34,23,68,173,78,33,32,1560803741.892064
32,27,38,56,153,56,28,25,1560803741.915912
26,26,45,68,182,57,24,20,1560803741.93793
28,28,46,72,188,57,25,23,1560803741.952271
27,27,45,67,146,54,21,21,1560803741.975453
24,26,48,75,158,50,23,21,1560803742.005738
24,29,38,80,164,51,23,22,1560803742.013752
25,27,29,69,140,41,22,21,1560803742.035444
23,26,29,67,167,37,22,21,1560803742.0578089
25,28,35,78,223,46,24,22,1560803742.07211
26,28,33,74,218,49,24,24,1560803742.102801
25,27,34,73,222,54,28,25,1560803742.125669
24,25,34,74,222,53,28,26,1560803742.141725
25,25,34,78,225,52,28,25,1560803742.155434
22,24,30,66,184,45,26,25,1560803742.178423
24,22,32,64,181,52,24,23,1560803742.192237
27,20,32,58,177,48,21,23,1560803742.215373
27,23,34,55,173,53,22,23,1560803742.245492
26,23,34,49,146,58,21,24,1560803742.252383
32,24,39,55,136,56,23,24,1560803742.2754688
31,27,44,64,138,47,24,25,1560803742.305202
29,28,45,69,143,51,24,27,1560803742.313796
28,26,44,73,148,51,23,25,1560803742.335546
28,32,66,84,164,54,25,25,1560803742.3577812
23,32,64,83,166,55,25,26,1560803742.380452
21,34,61,78,160,58,25,26,1560803742.395376
26,33,62,84,207,54,28,28,1560803742.4177961
28,34,64,84,221,64,29,27,1560803742.440308
27,31,48,88,232,64,28,26,1560803742.4552732
27,32,52,87,230,66,29,25,1560803742.485281
30,30,52,85,241,68,30,26,1560803742.500262
25,30,53,78,199,70,28,20,1560803742.515923
26,31,53,75,178,62,28,21,1560803742.5377991
27,30,47,61,172,59,28,22,1560803742.560292
26,27,45,69,180,62,29,23,1560803742.575923
26,28,45,76,171,62,32,23,1560803742.598073
26,27,45,76,178,65,30,23,1560803742.620839
25,29,48,85,178,63,30,25,1560803742.6357481
23,30,50,90,167,59,30,23,1560803742.658235
25,31,49,84,155,56,28,21,1560803742.680852
23,30,49,79,150,49,25,22,1560803742.703644
24,31,52,85,142,67,29,24,1560803742.718154
27,32,57,77,143,68,26,25,1560803742.7407632
28,32,69,83,126,71,28,26,1560803742.755774
29,31,69,88,149,73,30,28,1560803742.778167
32,32,69,91,181,76,30,28,1560803742.801158
32,32,68,89,180,74,30,29,1560803742.840971
31,31,63,103,227,70,31,27,1560803742.8425438
30,29,48,92,222,66,32,27,1560803742.860784
29,33,52,90,212,65,32,25,1560803742.875101
26,33,56,97,227,66,33,26,1560803742.898209
28,34,60,91,223,53,31,26,1560803742.936348
25,32,56,73,187,54,29,27,1560803742.9380322
26,32,57,76,201,57,27,26,1560803742.9582849
25,29,56,71,199,57,23,25,1560803742.980674
27,25,52,58,164,54,22,25,1560803742.995089
29,25,46,70,166,48,23,24,1560803743.01828
32,29,47,81,165,53,24,22,1560803743.0407
34,30,45,75,165,51,24,22,1560803743.055285
34,28,40,75,164,50,25,25,1560803743.0781732
33,31,43,80,171,51,25,23,1560803743.101326
29,30,39,71,176,46,24,24,1560803743.115123
29,27,38,59,161,52,26,24,1560803743.138799
26,27,41,66,168,51,25,25,1560803743.1617
26,27,44,70,174,56,26,25,1560803743.175213
27,25,44,64,154,59,29,25,1560803743.205925
26,23,46,69,160,62,30,24,1560803743.221085
25,25,44,74,170,57,29,25,1560803743.234966
27,26,43,74,161,70,31,26,1560803743.258242
26,28,39,78,153,65,31,24,1560803743.281223
28,31,34,77,152,62,28,27,1560803743.310774
29,33,31,81,177,60,26,27,1560803743.3182619
29,32,32,76,176,59,29,26,1560803743.340934
26,30,35,80,201,55,26,25,1560803743.363333
27,30,36,76,213,59,28,25,1560803743.378357
26,28,40,76,213,65,27,23,1560803743.400558
